城市,岗位名称,公司名称,薪资,地点
深圳,python工程师,深圳市紫川软件有限公司,9.5千-1.3万,深圳·福田区
深圳,python开发工程师,深圳市紫川软件有限公司,1.1-1.4万,深圳·福田区
深圳,AI应用工程师(A226668),深圳闻储创新科技有限公司,1.5-2.5万·14薪,深圳·龙岗区
深圳,高级python开发工程师,深圳市普洛西科技有限公司,2-3万,深圳
深圳,python运维开发工程师,中软国际科技服务有限公司,1.3-1.6万,深圳·南山区
深圳,数据开发工程师（数据治理方向）,深圳市鲜语运营管理有限公司,1.2-1.6万,深圳·南山区
深圳,Python开发工程师,深圳市联华世纪通信技术有限公司,1-2万·13薪,深圳·龙华区
深圳,中级Python开发工程师,蓝网科技股份有限公司,1.5-2万·14薪,深圳
深圳,python开发工程师,广东华际友天信息科技有限公司,1.2-1.8万·13薪,深圳·罗湖区
深圳,python开发工程师,深圳市紫川软件有限公司,1.3-1.6万,深圳·福田区
深圳,python工程师,深圳市网新新思软件有限公司,1.2-1.5万,深圳·南山区
深圳,Python开发,深圳市紫川软件有限公司,1.3-1.5万,深圳·福田区
深圳,python开发工程师,深圳市紫川软件有限公司,1.1-1.4万,深圳·福田区
深圳,python开发工程师,深圳铸泰科技有限公司,1.5-3万·13薪,深圳·南山区
深圳,python开发工程师,深圳市紫川软件有限公司,1-1.5万,深圳·福田区
深圳,python开发工程师/python爬虫方向,深圳市猎芯科技有限公司,1.4-2.5万,深圳·龙岗区
深圳,python工程师,深圳市紫川软件有限公司,9.5千-1.3万,深圳·福田区
深圳,Python开发工程师,深圳市达博威科技有限公司,1-1.5万,深圳·福田区
深圳,Python开发工程师,金地（集团）股份有限公司,1.2-2万,深圳·福田区
深圳,Python后端开发/架构设计,维佳科创（深圳）有限公司,500元/天,深圳
深圳,Python后端开发工程师,深圳市华益盛模具股份有限公司,1.2-1.8万,深圳·宝安区
深圳,python开发工程师,奇宏电子（深圳）有限公司,1.5-1.8万,深圳·宝安区
深圳,Python工程师,广东惠点电子科技有限公司,8千-1.5万,深圳·福田区
深圳,python开发-全额公积金-双休,深圳市法本信息技术股份有限公司,1.5-2万,深圳·龙岗区
广州,python开发工程师,广州海颐软件有限公司,1-2万,广州·黄埔区
广州,Python开发工程师,友邦资讯科技（广州）有限公司,2-2.5万,广州
广州,python开发工程师,深圳市南电云商有限公司,1.3-2万,广州·黄埔区
广州,python开发,大连华钦软件技术有限公司,1.6-1.9万,广州·天河区
广州,后端开发工程师(Python),深圳邦芒人力资源有限公司,2-2.2万,广州
广州,python开发工程师,广州海颐软件有限公司,1.1-2万,广州·黄埔区
广州,python,恩士迅信息科技（中国）有限责任公司,1.5-2万,广州·黄埔区
广州,python后端开发工程师,广州杰纳医药科技发展有限公司,1.3-2.2万,广州·黄埔区
广州,Python开发（广州固定13薪）,中软国际科技服务有限公司,1.5-1.9万·13薪,广州·天河区
广州,AI python,大连华钦软件技术有限公司,1.2-1.8万,广州·天河区
广州,Python 后端工程师 - 金融/RAG/LLM,塔塔信息技术（中国）有限责任公司,1.8-2.5万·13薪,广州·天河区
广州,python开发工程师,广州华盟信息科技有限公司,9-18万/年,广州
广州,Python开发/双休,深圳市睿服科技有限公司,1.3-1.8万,广州·海珠区
广州,python开发工程师,广州润和颐能软件技术有限公司,9千-1.5万,广州·黄埔区
广州,Python开发工程师,广州利洋水产科技股份有限公司,6千-1万,广州·白云区
广州,数据库开发工程师,广州市方驰电子有限公司,5千-1万,广州·番禺区
